"NAME","zipcodetabulationarea","B19301_001"
"ZCTA5 10303","10303",22015
"ZCTA5 10302","10302",22628
"ZCTA5 10312","10312",35763
"ZCTA5 10301","10301",27716
"ZCTA5 10306","10306",34149
"ZCTA5 10309","10309",33741
"ZCTA5 10310","10310",28325
"ZCTA5 10314","10314",32421
"ZCTA5 10308","10308",37997
"ZCTA5 10307","10307",37513
"ZCTA5 10311","10311",NA
"ZCTA5 10304","10304",25747
"ZCTA5 10305","10305",29753
"ZCTA5 10454","10454",12011
"ZCTA5 11370","11370",18777
"ZCTA5 10463","10463",30216
"ZCTA5 10464","10464",40514
"ZCTA5 10457","10457",12368
"ZCTA5 10469","10469",23527
"ZCTA5 10472","10472",15246
"ZCTA5 10473","10473",20570
"ZCTA5 10461","10461",25200
"ZCTA5 10471","10471",43615
"ZCTA5 10462","10462",20701
"ZCTA5 10468","10468",15380
"ZCTA5 10474","10474",10212
"ZCTA5 10475","10475",26910
"ZCTA5 10455","10455",12378
"ZCTA5 10456","10456",12071
"ZCTA5 10466","10466",19737
"ZCTA5 10470","10470",27461
"ZCTA5 10459","10459",12344
"ZCTA5 10465","10465",30368
"ZCTA5 10452","10452",12827
"ZCTA5 10453","10453",12750
"ZCTA5 10451","10451",14316
"ZCTA5 10458","10458",12910
"ZCTA5 10467","10467",18252
"ZCTA5 10460","10460",13207
"ZCTA5 11217","11217",49367
"ZCTA5 11213","11213",17768
"ZCTA5 11208","11208",15058
"ZCTA5 11206","11206",15008
"ZCTA5 11232","11232",17930
"ZCTA5 11209","11209",35671
"ZCTA5 11229","11229",25864
"ZCTA5 11219","11219",14999
"ZCTA5 11233","11233",19204
"ZCTA5 11218","11218",22862
"ZCTA5 11201","11201",71739
"ZCTA5 11221","11221",17845
"ZCTA5 11235","11235",27825
"ZCTA5 11210","11210",25095
"ZCTA5 11220","11220",16723
"ZCTA5 11211","11211",23376
"ZCTA5 11215","11215",55260
"ZCTA5 11239","11239",17607
"ZCTA5 11237","11237",15273
"ZCTA5 11228","11228",28759
"ZCTA5 11226","11226",19321
"ZCTA5 11234","11234",28836
"ZCTA5 11230","11230",22155
"ZCTA5 11216","11216",23890
"ZCTA5 11238","11238",37230
"ZCTA5 11223","11223",21935
"ZCTA5 11236","11236",24619
"ZCTA5 11425","11425",NA
"ZCTA5 11231","11231",44807
"ZCTA5 11204","11204",19503
"ZCTA5 11212","11212",15006
"ZCTA5 11222","11222",36752
"ZCTA5 11207","11207",15880
"ZCTA5 11214","11214",21583
"ZCTA5 11224","11224",19603
"ZCTA5 11225","11225",21713
"ZCTA5 11203","11203",22242
"ZCTA5 11205","11205",24779
"ZCTA5 10028","10028",111070
"ZCTA5 10029","10029",23899
"ZCTA5 10112","10112",NA
"ZCTA5 10115","10115",NA
"ZCTA5 10032","10032",18492
"ZCTA5 10033","10033",22790
"ZCTA5 10170","10170",NA
"ZCTA5 10031","10031",23427
"ZCTA5 10111","10111",NA
"ZCTA5 10024","10024",98982
"ZCTA5 10035","10035",17659
"ZCTA5 10027","10027",26810
"ZCTA5 10039","10039",18554
"ZCTA5 10037","10037",27291
"ZCTA5 10040","10040",21628
"ZCTA5 10168","10168",NA
"ZCTA5 10036","10036",64545
"ZCTA5 10030","10030",22139
"ZCTA5 10171","10171",NA
"ZCTA5 10167","10167",NA
"ZCTA5 10162","10162",99179
"ZCTA5 10025","10025",54383
"ZCTA5 10279","10279",NA
"ZCTA5 10172","10172",NA
"ZCTA5 10069","10069",126248
"ZCTA5 10023","10023",105219
"ZCTA5 10044","10044",39137
"ZCTA5 10065","10065",111303
"ZCTA5 10165","10165",NA
"ZCTA5 10154","10154",NA
"ZCTA5 10153","10153",NA
"ZCTA5 10075","10075",103738
"ZCTA5 10169","10169",NA
"ZCTA5 10021","10021",115819
"ZCTA5 10034","10034",22350
"ZCTA5 10282","10282",128884
"ZCTA5 10278","10278",NA
"ZCTA5 10103","10103",NA
"ZCTA5 10271","10271",NA
"ZCTA5 10038","10038",57448
"ZCTA5 10110","10110",38800
"ZCTA5 10119","10119",NA
"ZCTA5 10026","10026",27564
"ZCTA5 10280","10280",87913
"ZCTA5 10022","10022",123389
"ZCTA5 10018","10018",66348
"ZCTA5 10177","10177",NA
"ZCTA5 10174","10174",NA
"ZCTA5 10463","10463",30216
"ZCTA5 10014","10014",98716
"ZCTA5 10173","10173",NA
"ZCTA5 10128","10128",94163
"ZCTA5 10019","10019",82759
"ZCTA5 10199","10199",NA
"ZCTA5 10152","10152",NA
"ZCTA5 10016","10016",88917
"ZCTA5 10001","10001",63431
"ZCTA5 10020","10020",NA
"ZCTA5 10006","10006",92121
"ZCTA5 10002","10002",25024
"ZCTA5 10012","10012",75100
"ZCTA5 10007","10007",136747
"ZCTA5 10005","10005",94019
"ZCTA5 10003","10003",73629
"ZCTA5 10010","10010",85864
"ZCTA5 10009","10009",43105
"ZCTA5 10004","10004",138829
"ZCTA5 10011","10011",106159
"ZCTA5 10017","10017",107099
"ZCTA5 10013","10013",73722
"ZCTA5 11102","11102",26114
"ZCTA5 11103","11103",31601
"ZCTA5 11357","11357",35097
"ZCTA5 11104","11104",29922
"ZCTA5 11356","11356",27604
"ZCTA5 11109","11109",83751
"ZCTA5 11101","11101",26584
"ZCTA5 11693","11693",27226
"ZCTA5 11106","11106",28998
"ZCTA5 11105","11105",31655
"ZCTA5 11372","11372",24044
"ZCTA5 11354","11354",24125
"ZCTA5 11370","11370",18777
"ZCTA5 11430","11430",11026
"ZCTA5 11373","11373",20379
"ZCTA5 11351","11351",NA
"ZCTA5 11355","11355",21582
"ZCTA5 11369","11369",19956
"ZCTA5 11040","11040",39732
"ZCTA5 11432","11432",23758
"ZCTA5 11368","11368",16080
"ZCTA5 11003","11003",27429
"ZCTA5 11414","11414",33366
"ZCTA5 11379","11379",31627
"ZCTA5 11423","11423",25149
"ZCTA5 11419","11419",18916
"ZCTA5 11363","11363",48772
"ZCTA5 11371","11371",NA
"ZCTA5 11005","11005",75964
"ZCTA5 11416","11416",19760
"ZCTA5 11418","11418",22396
"ZCTA5 11428","11428",26421
"ZCTA5 11429","11429",23491
"ZCTA5 11362","11362",38264
"ZCTA5 11365","11365",27528
"ZCTA5 11374","11374",34068
"ZCTA5 11378","11378",26598
"ZCTA5 11004","11004",34158
"ZCTA5 11417","11417",23179
"ZCTA5 11424","11424",NA
"ZCTA5 11358","11358",30501
"ZCTA5 11367","11367",26066
"ZCTA5 11692","11692",19524
"ZCTA5 11694","11694",37851
"ZCTA5 11411","11411",30765
"ZCTA5 11385","11385",22932
"ZCTA5 11413","11413",27504
"ZCTA5 11426","11426",30132
"ZCTA5 11361","11361",32631
"ZCTA5 11697","11697",43799
"ZCTA5 11412","11412",25527
"ZCTA5 11415","11415",32333
"ZCTA5 11427","11427",28916
"ZCTA5 11364","11364",32652
"ZCTA5 11375","11375",44061
"ZCTA5 11377","11377",23734
"ZCTA5 11360","11360",43074
"ZCTA5 11691","11691",18749
"ZCTA5 11451","11451",NA
"ZCTA5 11421","11421",21615
"ZCTA5 11366","11366",31483
"ZCTA5 11001","11001",39692
"ZCTA5 11422","11422",28860
"ZCTA5 11420","11420",23037
"ZCTA5 11434","11434",23536
"ZCTA5 11436","11436",23452
"ZCTA5 11433","11433",19225
"ZCTA5 11359","11359",NA
"ZCTA5 11435","11435",23205
