ZIP,Dependents,AGI,NumReturns,AvgAGI
10001,"3,170","2,094,642","13,720"," 152,671 "
10002,"19,730","2,002,349","43,410"," 46,126 "
10003,"4,800","6,135,126","29,340"," 209,104 "
10004,"1,080","892,142","2,580"," 345,791 "
10005,"1,300","5,343,796","5,660"," 944,134 "
10006,460,"421,654","2,360"," 178,667 "
10007,"1,510","1,712,816","3,460"," 495,034 "
10009,"9,730","2,299,944","32,170"," 71,493 "
10010,"3,370","3,424,038","17,270"," 198,265 "
10011,"5,500","7,422,443","30,420"," 243,999 "
10012,"2,480","2,682,639","12,780"," 209,909 "
10013,"5,730","4,872,698","15,060"," 323,552 "
10014,"2,940","4,861,288","18,950"," 256,532 "
10016,"5,350","8,730,077","30,970"," 281,888 "
10017,"2,710","4,079,743","11,870"," 343,702 "
10018,"1,440","2,550,416","6,230"," 409,377 "
10019,"5,060","6,040,781","24,200"," 249,619 "
10021,"6,330","11,744,436","23,860"," 492,223 "
10022,"4,610","10,036,729","19,780"," 507,418 "
10023,"9,490","10,708,893","33,900"," 315,897 "
10024,"11,170","9,152,767","30,820"," 296,975 "
10025,"18,080","6,051,861","46,200"," 130,993 "
10026,"10,070","993,545","17,660"," 56,260 "
10027,"14,880","1,396,419","26,780"," 52,144 "
10028,"7,620","8,970,406","25,370"," 353,583 "
10029,"22,430","1,714,185","34,300"," 49,976 "
10030,"8,450","472,006","13,240"," 35,650 "
10031,"16,200","1,001,265","28,740"," 34,839 "
10032,"19,540","1,001,227","31,540"," 31,745 "
10033,"15,620","1,067,109","27,110"," 39,362 "
10034,"12,080","764,345","20,340"," 37,578 "
10035,"10,490","603,151","15,360"," 39,268 "
10036,"3,990","3,690,222","17,980"," 205,240 "
10037,"5,280","445,291","10,280"," 43,316 "
10038,"3,900","1,426,096","12,300"," 115,943 "
10039,"9,300","468,538","13,400"," 34,966 "
10040,"12,590","808,747","21,670"," 37,321 "
10044,"1,670","346,386","4,160"," 83,266 "
10065,"4,340","6,983,851","15,670"," 445,683 "
10069,"1,250","1,258,210","2,660"," 473,011 "
10075,"4,140","5,843,617","14,330"," 407,789 "
10128,"10,550","10,821,609","32,510"," 332,870 "
10162,400,"177,246",700," 253,209 "
10280,"1,610","782,322","4,160"," 188,058 "
10282,"1,350","968,177","2,400"," 403,407 "
10301,"11,130","1,090,169","17,240"," 63,235 "
10302,"6,080","362,243","7,710"," 46,984 "
10303,"9,720","492,630","11,700"," 42,105 "
10304,"14,290","1,203,206","18,950"," 63,494 "
10305,"12,000","1,092,453","18,720"," 58,358 "
10306,"15,510","1,745,314","25,970"," 67,205 "
10307,"4,470","527,395","6,220"," 84,790 "
10308,"7,820","935,036","13,300"," 70,303 "
10309,"9,870","1,132,904","14,630"," 77,437 "
10310,"8,520","626,031","10,990"," 56,964 "
10312,"17,530","2,146,508","28,440"," 75,475 "
10314,"25,330","2,592,527","39,620"," 65,435 "
10451,"18,070","647,933","22,270"," 29,094 "
10452,"31,480","867,413","35,350"," 24,538 "
10453,"32,910","876,875","37,070"," 23,655 "
10454,"14,660","364,122","15,220"," 23,924 "
10455,"15,820","430,940","17,090"," 25,216 "
10456,"36,680","916,804","38,800"," 23,629 "
10457,"29,360","757,012","31,770"," 23,828 "
10458,"28,640","857,682","33,010"," 25,982 "
10459,"19,160","537,557","20,860"," 25,770 "
10460,"21,920","630,094","24,700"," 25,510 "
10461,"14,830","1,096,894","23,340"," 46,996 "
10462,"27,240","1,482,923","38,370"," 38,648 "
10463,"19,660","1,978,706","33,220"," 59,564 "
10464,920,"163,217","2,140"," 76,270 "
10465,"11,750","1,082,818","19,250"," 56,250 "
10466,"23,510","1,122,503","31,640"," 35,477 "
10467,"34,610","1,357,285","42,930"," 31,616 "
10468,"28,900","944,103","35,240"," 26,791 "
10469,"22,090","1,303,391","31,030"," 42,004 "
10470,"4,300","345,546","7,390"," 46,759 "
