Zip,Count,AGI,TotInc
10001,"13,720"," 152,671 "," 155,102 "
10002,"43,410"," 46,126 "," 46,847 "
10003,"29,340"," 209,104 "," 212,309 "
10004,"2,580"," 345,791 "," 350,690 "
10005,"5,660"," 944,134 "," 948,979 "
10006,"2,360"," 178,667 "," 181,589 "
10007,"3,460"," 495,034 "," 501,094 "
10009,"32,170"," 71,493 "," 72,640 "
10010,"17,270"," 198,265 "," 201,070 "
10011,"30,420"," 243,999 "," 247,752 "
10012,"12,780"," 209,909 "," 212,901 "
10013,"15,060"," 323,552 "," 327,691 "
10014,"18,950"," 256,532 "," 260,167 "
10016,"30,970"," 281,888 "," 284,626 "
10017,"11,870"," 343,702 "," 347,677 "
10018,"6,230"," 409,377 "," 413,021 "
10019,"24,200"," 249,619 "," 252,431 "
10021,"23,860"," 492,223 "," 497,786 "
10022,"19,780"," 507,418 "," 522,181 "
10023,"33,900"," 315,897 "," 320,409 "
10024,"30,820"," 296,975 "," 302,330 "
10025,"46,200"," 130,993 "," 133,870 "
10026,"17,660"," 56,260 "," 57,113 "
10027,"26,780"," 52,144 "," 52,937 "
10028,"25,370"," 353,583 "," 358,413 "
10029,"34,300"," 49,976 "," 50,632 "
10030,"13,240"," 35,650 "," 36,115 "
10031,"28,740"," 34,839 "," 35,315 "
10032,"31,540"," 31,745 "," 32,160 "
10033,"27,110"," 39,362 "," 40,031 "
10034,"20,340"," 37,578 "," 38,080 "
10035,"15,360"," 39,268 "," 39,685 "
10036,"17,980"," 205,240 "," 207,432 "
10037,"10,280"," 43,316 "," 43,757 "
10038,"12,300"," 115,943 "," 117,598 "
10039,"13,400"," 34,966 "," 35,313 "
10040,"21,670"," 37,321 "," 37,854 "
10044,"4,160"," 83,266 "," 84,510 "
10065,"15,670"," 445,683 "," 450,550 "
10069,"2,660"," 473,011 "," 479,819 "
10075,"14,330"," 407,789 "," 412,566 "
10128,"32,510"," 332,870 "," 337,516 "
10162,700," 253,209 "," 258,076 "
10280,"4,160"," 188,058 "," 190,950 "
10282,"2,400"," 403,407 "," 408,200 "
10301,"17,240"," 63,235 "," 64,033 "
10302,"7,710"," 46,984 "," 47,346 "
10303,"11,700"," 42,105 "," 42,383 "
10304,"18,950"," 63,494 "," 64,291 "
10305,"18,720"," 58,358 "," 58,923 "
10306,"25,970"," 67,205 "," 67,904 "
10307,"6,220"," 84,790 "," 85,777 "
10308,"13,300"," 70,303 "," 70,910 "
10309,"14,630"," 77,437 "," 78,297 "
10310,"10,990"," 56,964 "," 57,526 "
10312,"28,440"," 75,475 "," 76,205 "
10314,"39,620"," 65,435 "," 66,107 "
10451,"22,270"," 29,094 "," 29,320 "
10452,"35,350"," 24,538 "," 24,779 "
10453,"37,070"," 23,655 "," 23,886 "
10454,"15,220"," 23,924 "," 24,148 "
10455,"17,090"," 25,216 "," 25,438 "
10456,"38,800"," 23,629 "," 23,859 "
10457,"31,770"," 23,828 "," 24,069 "
10458,"33,010"," 25,982 "," 26,238 "
10459,"20,860"," 25,770 "," 25,988 "
10460,"24,700"," 25,510 "," 25,718 "
10461,"23,340"," 46,996 "," 47,376 "
10462,"38,370"," 38,648 "," 38,963 "
10463,"33,220"," 59,564 "," 60,322 "
10464,"2,140"," 76,270 "," 77,281 "
10465,"19,250"," 56,250 "," 56,628 "
10466,"31,640"," 35,477 "," 35,707 "
10467,"42,930"," 31,616 "," 31,886 "
10468,"35,240"," 26,791 "," 27,030 "
10469,"31,030"," 42,004 "," 42,324 "
10470,"7,390"," 46,759 "," 47,122 "
10471,"9,800"," 117,946 "," 119,775 "
10472,"27,360"," 27,435 "," 27,687 "
10473,"27,320"," 35,985 "," 36,220 "
10474,"4,690"," 25,805 "," 26,090 "
10475,"22,020"," 44,787 "," 45,022 "
10501,650," 147,971 "," 151,018 "
10502,"2,910"," 143,861 "," 146,621 "
10504,"5,360"," 418,180 "," 424,361 "
10505,570," 110,135 "," 111,928 "
10506,"2,830"," 360,274 "," 368,143 "
10507,"2,590"," 172,008 "," 174,624 "
10509,"9,710"," 81,709 "," 82,862 "
10510,"4,870"," 258,647 "," 264,188 "
10511,"1,130"," 68,320 "," 68,873 "
10512,"12,330"," 81,088 "," 82,040 "
10514,"5,480"," 428,743 "," 437,730 "
10516,"2,780"," 98,957 "," 101,252 "
10518,740," 142,145 "," 145,524 "
10520,"6,350"," 125,011 "," 127,058 "
10522,"5,210"," 128,160 "," 130,926 "
10523,"4,830"," 67,307 "," 68,057 "
10524,"2,050"," 162,950 "," 165,681 "
10526,"1,040"," 139,929 "," 143,270 "
10527,420," 142,855 "," 145,312 "
10528,"5,750"," 229,457 "," 232,800 "
10530,"7,090"," 127,834 "," 129,770 "
10532,"2,630"," 90,471 "," 91,570 "
10533,"3,830"," 216,932 "," 221,824 "
10535,370," 61,222 "," 62,286 "
10536,"5,280"," 256,353 "," 260,957 "
10537,"1,180"," 60,845 "," 61,540 "
10538,"8,060"," 357,550 "," 364,500 "
10541,"12,330"," 83,082 "," 84,069 "
10543,"9,600"," 145,265 "," 147,791 "
10546,710," 211,203 "," 215,420 "
10547,"3,540"," 75,684 "," 76,558 "
10548,"1,570"," 78,092 "," 79,125 "
10549,"8,240"," 200,181 "," 203,504 "
10550,"18,270"," 35,318 "," 35,578 "
10552,"10,680"," 72,263 "," 73,122 "
10553,"5,670"," 46,871 "," 47,179 "
10560,"2,180"," 188,856 "," 192,965 "
10562,"16,030"," 76,451 "," 77,633 "
10566,"12,120"," 53,165 "," 53,646 "
10567,"9,530"," 99,504 "," 101,002 "
10570,"5,940"," 161,919 "," 165,129 "
10573,"18,800"," 88,553 "," 89,978 "
10576,"2,450"," 286,176 "," 293,038 "
10577,"1,520"," 670,894 "," 678,439 "
10578,450," 85,880 "," 87,331 "
10579,"4,340"," 90,446 "," 91,596 "
10580,"8,060"," 483,846 "," 490,540 "
10583,"18,850"," 394,221 "," 400,898 "
10588,"1,300"," 79,482 "," 80,811 "
10589,"4,520"," 121,655 "," 123,430 "
10590,"3,150"," 164,184 "," 168,301 "
10591,"11,670"," 115,088 "," 116,607 "
10594,"2,520"," 117,382 "," 119,240 "
10595,"3,150"," 116,892 "," 118,345 "
10597,510," 334,955 "," 343,525 "
10598,"14,410"," 110,305 "," 111,757 "
10601,"6,050"," 126,123 "," 128,186 "
10603,"10,020"," 73,572 "," 74,503 "
10604,"5,560"," 120,837 "," 122,744 "
10605,"10,060"," 135,642 "," 138,331 "
