"zip","schools","numSeats","totPop","kidsUnder3","perCapitaIncome","incomeQuantile","incomeBin","seatsPer100Kids","seatsPerCapita","seatsQuantile","seatsBin"
10001,7,379,21097,532,63431,0.865497076023392,63233,71.2406015037594,0.0179646395222069,0.964912280701754,55.156
10002,27,1554,81335,1761,25024,0.450292397660819,26441,88.2453151618399,0.019106165857257,0.982456140350877,55.156
10003,2,99,55190,937,73629,0.888888888888889,63233,10.5656350053362,0.00179380322522196,0.0701754385964912,18.066
10004,1,56,2604,154,138829,1,63233,36.3636363636364,0.021505376344086,0.543859649122807,34.642
10007,1,61,5892,311,136747,0.994152046783626,63233,19.6141479099678,0.0103530210454854,0.175438596491228,18.066
10009,13,650,62335,1116,43105,0.807017543859649,63233,58.2437275985663,0.0104275286757039,0.906432748538012,55.156
10010,2,131,28954,532,85864,0.91812865497076,63233,24.6240601503759,0.0045244180424121,0.263157894736842,18.066
10011,4,213,51064,1187,106159,0.95906432748538,63233,17.944397641112,0.00417123609587968,0.152046783625731,18.066
10012,2,103,24342,453,75100,0.900584795321637,63233,22.7373068432671,0.00423136964916605,0.222222222222222,18.066
10013,4,156,25942,889,73722,0.894736842105263,63233,17.5478065241845,0.00601341454012798,0.140350877192982,18.066
10014,1,79,31685,607,98716,0.935672514619883,63233,13.0148270181219,0.00249329335647783,0.0994152046783626,18.066
10016,3,222,53754,1343,88917,0.923976608187134,63233,16.530156366344,0.00412992521486773,0.128654970760234,18.066
10018,2,103,5290,106,66348,0.87719298245614,63233,97.1698113207547,0.0194706994328923,0.988304093567251,55.156
10019,3,238,40778,958,82759,0.906432748538012,63233,24.8434237995825,0.00583648045514738,0.269005847953216,18.066
10021,1,106,41546,1474,115819,0.976608187134503,63233,7.19131614654003,0.00255138882202859,0.0350877192982456,18.066
10022,1,48,28847,909,123389,0.982456140350877,63233,5.28052805280528,0.00166395119076507,0.0116959064327485,18.066
10023,3,196,60035,2735,105219,0.953216374269006,63233,7.16636197440585,0.00326476222203714,0.0292397660818713,18.066
10024,7,298,60239,2568,98982,0.941520467836257,63233,11.6043613707165,0.00494696127093743,0.087719298245614,18.066
10025,12,607,95330,3142,54383,0.847953216374269,63233,19.3189051559516,0.00636735550194063,0.16374269005848,18.066
10026,8,492,36026,1825,27564,0.56140350877193,26441,26.958904109589,0.0136568034197524,0.298245614035088,18.066
10027,17,1059,58834,1849,26810,0.52046783625731,26441,57.2742022714981,0.0179997960363055,0.888888888888889,55.156
10028,1,38,45345,1853,111070,0.964912280701754,63233,2.05072854830005,0.000838019627301797,0.00584795321637427,18.066
10029,31,1529,78451,2313,23899,0.421052631578947,26441,66.104626026805,0.019489872659367,0.941520467836257,55.156
10030,8,544,29186,965,22139,0.298245614035088,17896,56.3730569948186,0.018639073528404,0.883040935672515,55.156
10031,8,414,58736,1949,23427,0.374269005847953,26441,21.2416623909697,0.00704848815036775,0.204678362573099,18.066
10032,10,703,62798,2287,18492,0.16374269005848,17896,30.7389593353738,0.0111946240326125,0.403508771929825,34.642
10033,10,569,58027,1931,22790,0.333333333333333,17896,29.4665976178146,0.00980578006789943,0.362573099415205,34.642
10034,6,450,40925,1392,22350,0.315789473684211,17896,32.3275862068966,0.0109957238851558,0.456140350877193,34.642
10035,13,759,35290,1522,17659,0.134502923976608,17896,49.8685939553219,0.0215075092094078,0.842105263157895,55.156
10036,2,99,22371,466,64545,0.871345029239766,63233,21.244635193133,0.00442537213356578,0.210526315789474,18.066
10037,7,321,17489,547,27291,0.538011695906433,26441,58.6837294332724,0.0183543941906341,0.912280701754386,55.156
10038,4,242,19530,571,57448,0.859649122807018,63233,42.3817863397548,0.0123911930363543,0.695906432748538,55.156
10039,7,499,25257,1122,18554,0.169590643274854,17896,44.4741532976827,0.0197568990774835,0.754385964912281,55.156
10040,5,428,43753,1223,21628,0.274853801169591,17896,34.9959116925593,0.00978218636436359,0.508771929824561,34.642
10044,1,38,11399,487,39137,0.789473684210526,63233,7.80287474332649,0.00333362575664532,0.0467836257309941,18.066
10065,3,146,32193,1067,111303,0.970760233918129,63233,13.6832239925023,0.00453514739229025,0.105263157894737,18.066
10075,1,98,26082,867,103738,0.947368421052632,63233,11.3033448673587,0.00375738056897477,0.0760233918128655,18.066
10128,2,116,58793,1552,94163,0.929824561403509,63233,7.47422680412371,0.00197302399945572,0.0409356725146199,18.066
10282,1,34,5027,399,128884,0.988304093567251,63233,8.52130325814536,0.00676347722299582,0.0526315789473684,18.066
10301,10,666,39367,1609,27716,0.573099415204678,26441,41.3921690490988,0.0169177229659359,0.672514619883041,55.156
10302,3,127,17128,1006,22628,0.327485380116959,17896,12.624254473161,0.0074147594581971,0.0935672514619883,18.066
10303,6,334,26274,1127,22015,0.292397660818713,17896,29.6362023070098,0.0127121869528812,0.368421052631579,34.642
10304,10,672,40934,1833,25747,0.47953216374269,26441,36.6612111292962,0.0164166707382616,0.549707602339181,34.642
10305,9,439,40085,1324,29753,0.619883040935672,26441,33.1570996978852,0.0109517275788948,0.467836257309941,34.642
10306,12,726,55710,1961,34149,0.725146198830409,63233,37.0219275879653,0.0130317716747442,0.567251461988304,34.642
10307,4,232,14363,504,37513,0.766081871345029,63233,46.031746031746,0.0161526143563322,0.807017543859649,55.156
10308,5,325,29014,804,37997,0.777777777777778,63233,40.4228855721393,0.0112014889363755,0.649122807017544,34.642
10309,7,503,30706,941,33741,0.713450292397661,63233,53.4537725823592,0.0163811632905621,0.859649122807018,55.156
10310,9,581,24473,1081,28325,0.584795321637427,26441,53.7465309898242,0.0237404486577044,0.865497076023392,55.156
10312,8,574,60318,1687,35763,0.748538011695906,63233,34.0248962655602,0.00951623064425213,0.485380116959064,34.642
10314,21,1294,87662,2863,32421,0.690058479532164,63233,45.1973454418442,0.0147612420433027,0.777777777777778,55.156
10451,14,785,43550,1997,14316,0.064327485380117,17896,39.3089634451677,0.0180252583237658,0.619883040935672,34.642
10452,17,1197,75150,4102,12827,0.0467836257309941,17896,29.1808873720137,0.0159281437125748,0.35672514619883,34.642
10453,19,1328,79376,4150,12750,0.0409356725146199,17896,32,0.0167304978834912,0.450292397660819,34.642
